suite,case_id,arm_id,expected,success,unsupported,not_attempted,not_collected,timeout,memory_limit,failure,complete,quality_qualified,int8_error_characterization_only
T,hs_n18,upmem_d1_t6_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t7_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t8_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t9_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t10_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t11_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t12_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t13_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t14_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t15_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t16_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t17_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t18_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t19_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t20_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t21_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t22_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t23_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,hs_n18,upmem_d1_t24_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t1_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t2_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t3_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t4_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t5_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t6_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t7_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t8_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t9_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t10_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t11_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t12_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t13_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t14_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t15_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t16_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t17_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t18_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t19_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t20_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t21_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t22_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t23_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
T,stress_n16_l2,upmem_d1_t24_serial_nodes_v1_0_f32,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n08,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n08,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n08,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n08,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n12,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n12,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n12,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n12,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n16,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n16,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n16,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n16,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n18,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n18,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n18,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n18,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n20,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n20,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n22,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n22,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n24,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n24,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bb84_n26,upmem_d64_t24_static_dag_waves_v1_1_f32,5,0,5,0,0,0,0,0,False,False,False
W,bb84_n26,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bv_n08,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bv_n08,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bv_n08,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,bv_n08,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,bv_n12,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bv_n12,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bv_n12,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,bv_n12,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,bv_n16,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bv_n16,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bv_n16,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,bv_n16,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,bv_n18,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bv_n18,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bv_n18,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,bv_n18,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,bv_n20,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bv_n20,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bv_n22,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bv_n22,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bv_n24,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,bv_n24,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,bv_n26,upmem_d64_t24_static_dag_waves_v1_1_f32,5,0,5,0,0,0,0,0,False,False,False
W,bv_n26,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,edc_n07,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,edc_n07,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,edc_n07,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,edc_n07,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,edc_n11,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,edc_n11,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,edc_n11,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,edc_n11,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,edc_n15,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,edc_n15,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,edc_n15,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,edc_n15,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
