suite,case_id,arm_id,metric,median,raw_mad,count,quality_qualified
A,edc_n17,upmem_d4_t8_static_dag_waves_v1_1_f32,d2h_s,0.19524417600000002,0.0053690550000000115,7,True
A,edc_n17,upmem_d4_t8_static_dag_waves_v1_1_f32,h2d_bytes,2048896,0,7,True
A,edc_n17,upmem_d4_t8_static_dag_waves_v1_1_f32,d2h_bytes,5992864,0,7,True
A,hs_n18,upmem_d1_t1_serial_nodes_v1_0_f32,job_to_state_s,4.218865870963782,0.0599497560178861,7,True
A,hs_n18,upmem_d1_t1_serial_nodes_v1_0_f32,prepared_call_s,4.0612242899951525,0.06275779899442568,7,True
A,hs_n18,upmem_d1_t1_serial_nodes_v1_0_f32,session_inclusive_s,3.9959925930015743,0.06273996300296858,7,True
A,hs_n18,upmem_d1_t1_serial_nodes_v1_0_f32,steady_s,3.6301682390039787,0.05594541702885181,7,True
A,hs_n18,upmem_d1_t1_serial_nodes_v1_0_f32,kernel_s,2.460483321,0.007989863000000152,7,True
A,hs_n18,upmem_d1_t1_serial_nodes_v1_0_f32,session_open_s,0.3688337820349261,0.0005619620787911117,7,True
A,hs_n18,upmem_d1_t1_serial_nodes_v1_0_f32,session_close_s,0.004228894016705453,0.0001349869999103248,7,True
A,hs_n18,upmem_d1_t1_serial_nodes_v1_0_f32,h2d_s,0.17783256999999997,0.004780229000000136,7,True
A,hs_n18,upmem_d1_t1_serial_nodes_v1_0_f32,d2h_s,0.22704842300000003,0.01143513300000007,7,True
A,hs_n18,upmem_d1_t1_serial_nodes_v1_0_f32,h2d_bytes,146272,0,7,True
A,hs_n18,upmem_d1_t1_serial_nodes_v1_0_f32,d2h_bytes,4274144,0,7,True
A,hs_n18,upmem_d1_t8_serial_nodes_v1_0_f32,job_to_state_s,2.224601587979123,0.14036526897689328,7,True
A,hs_n18,upmem_d1_t8_serial_nodes_v1_0_f32,prepared_call_s,2.0691451969905756,0.13781710102921352,7,True
A,hs_n18,upmem_d1_t8_serial_nodes_v1_0_f32,session_inclusive_s,2.004314413992688,0.13755535404197872,7,True
A,hs_n18,upmem_d1_t8_serial_nodes_v1_0_f32,steady_s,1.6294688619673252,0.130871155008208,7,True
A,hs_n18,upmem_d1_t8_serial_nodes_v1_0_f32,kernel_s,0.48731448599999994,0.01710801499999981,7,True
A,hs_n18,upmem_d1_t8_serial_nodes_v1_0_f32,session_open_s,0.37113032600609586,0.001655066036619246,7,True
A,hs_n18,upmem_d1_t8_serial_nodes_v1_0_f32,session_close_s,0.003941339033190161,0.00022611301392316818,7,True
A,hs_n18,upmem_d1_t8_serial_nodes_v1_0_f32,h2d_s,0.16121485700000007,0.017811673,7,True
A,hs_n18,upmem_d1_t8_serial_nodes_v1_0_f32,d2h_s,0.22063660899999996,0.02714188600000003,7,True
A,hs_n18,upmem_d1_t8_serial_nodes_v1_0_f32,h2d_bytes,146272,0,7,True
A,hs_n18,upmem_d1_t8_serial_nodes_v1_0_f32,d2h_bytes,4274144,0,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_0_f32,job_to_state_s,2.544167293992359,0.07111458701547235,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_0_f32,prepared_call_s,2.3886246610200033,0.0723217569757253,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_0_f32,session_inclusive_s,2.323329286999069,0.07245106500340626,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_0_f32,steady_s,1.9089804840041324,0.06940120400395244,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_0_f32,kernel_s,0.19018043,0.0006234689999999876,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_0_f32,session_open_s,0.41007144399918616,0.0033126689959317446,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_0_f32,session_close_s,0.004078869009390473,0.00016300496645271778,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_0_f32,h2d_s,0.38464892799999983,0.006941530000000085,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_0_f32,d2h_s,0.34402502599999996,0.011337898999999985,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_0_f32,h2d_bytes,391648,0,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_0_f32,d2h_bytes,4396832,0,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_1_f32,job_to_state_s,1.3613684669835493,0.00351628998760134,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_1_f32,prepared_call_s,1.2051983559504151,0.0027006849413737655,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_1_f32,session_inclusive_s,1.1400888680364005,0.002867261995561421,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_1_f32,steady_s,0.7714444500161335,0.003789035021327436,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_1_f32,kernel_s,0.11541773200000002,0.0001230159999999758,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_1_f32,session_open_s,0.3639686420210637,0.0026736189611256123,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_1_f32,session_close_s,0.004102882987353951,0.00023473199689760804,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_1_f32,h2d_s,0.11252108200000004,0.0011521789999999615,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_1_f32,d2h_s,0.13956385999999998,0.002792647000000037,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_1_f32,h2d_bytes,131568,0,7,True
A,hs_n18,upmem_d4_t8_serial_nodes_v1_1_f32,d2h_bytes,4274144,0,7,True
A,hs_n18,upmem_d4_t8_static_dag_waves_v1_1_f32,job_to_state_s,1.3639268610277213,0.0017591380164958537,7,True
A,hs_n18,upmem_d4_t8_static_dag_waves_v1_1_f32,prepared_call_s,1.0731886249850504,0.0056818980374373496,7,True
A,hs_n18,upmem_d4_t8_static_dag_waves_v1_1_f32,session_inclusive_s,1.0082198439049534,0.005376844143029302,7,True
A,hs_n18,upmem_d4_t8_static_dag_waves_v1_1_f32,steady_s,0.5250110590131953,0.0023060549865476787,7,True
A,hs_n18,upmem_d4_t8_static_dag_waves_v1_1_f32,kernel_s,0.084427459,9.87080000000029e-05,7,True
A,hs_n18,upmem_d4_t8_static_dag_waves_v1_1_f32,session_open_s,0.47725509601878,0.00390251399949193,7,True
A,hs_n18,upmem_d4_t8_static_dag_waves_v1_1_f32,session_close_s,0.004037282022181898,6.37139892205596e-05,7,True
A,hs_n18,upmem_d4_t8_static_dag_waves_v1_1_f32,h2d_s,0.066229006,0.0005517899999999964,7,True
A,hs_n18,upmem_d4_t8_static_dag_waves_v1_1_f32,d2h_s,0.11059529300000001,0.0005209029999999892,7,True
A,hs_n18,upmem_d4_t8_static_dag_waves_v1_1_f32,h2d_bytes,71088,0,7,True
A,hs_n18,upmem_d4_t8_static_dag_waves_v1_1_f32,d2h_bytes,4243904,0,7,True
A,stress_n16_l2,upmem_d1_t1_serial_nodes_v1_0_f32,job_to_state_s,7.927062413014937,0.008017583983018994,7,True
A,stress_n16_l2,upmem_d1_t1_serial_nodes_v1_0_f32,prepared_call_s,7.788959640020039,0.006535423977766186,7,True
A,stress_n16_l2,upmem_d1_t1_serial_nodes_v1_0_f32,session_inclusive_s,7.745686715992633,0.006883980066049844,7,True
A,stress_n16_l2,upmem_d1_t1_serial_nodes_v1_0_f32,steady_s,7.401826177025214,0.010116987978108227,7,True
A,stress_n16_l2,upmem_d1_t1_serial_nodes_v1_0_f32,kernel_s,6.302152263,0.002291195999999829,7,True
