case_id,B,K,M,N,dependency_count,node_id,output_elements,real_macs
hs_n16,1,2,2,1,1,contract_76,2,16
hs_n16,1,2,4,1,2,contract_77,4,32
hs_n16,1,2,8,2,2,contract_78,16,128
hs_n16,1,2,2,1,1,contract_79,2,16
hs_n16,1,2,4,1,2,contract_80,4,32
hs_n16,1,2,8,2,2,contract_81,16,128
hs_n16,1,2,2,1,1,contract_82,2,16
hs_n16,1,2,4,1,2,contract_83,4,32
hs_n16,1,2,8,2,2,contract_84,16,128
hs_n16,1,2,2,1,1,contract_85,2,16
hs_n16,1,2,4,1,2,contract_86,4,32
hs_n16,1,2,8,2,2,contract_87,16,128
hs_n16,1,2,2,2,2,contract_88,4,32
hs_n16,1,2,2,8,1,contract_89,16,128
hs_n16,1,2,2,2,2,contract_90,4,32
hs_n16,1,2,2,8,1,contract_91,16,128
hs_n16,1,2,2,2,2,contract_92,4,32
hs_n16,1,2,2,8,1,contract_93,16,128
hs_n16,1,2,2,2,2,contract_94,4,32
hs_n16,1,2,2,8,1,contract_95,16,128
hs_n16,1,2,2,2,2,contract_96,4,32
hs_n16,1,2,2,8,1,contract_97,16,128
hs_n16,1,2,2,2,2,contract_98,4,32
hs_n16,1,2,2,8,1,contract_99,16,128
hs_n16,1,2,2,2,2,contract_100,4,32
hs_n16,1,2,2,8,1,contract_101,16,128
hs_n16,1,2,2,2,2,contract_102,4,32
hs_n16,1,2,2,8,1,contract_103,16,128
hs_n16,1,2,2,2,2,contract_104,4,32
hs_n16,1,4,4,1,2,contract_105,4,64
hs_n16,1,2,2,2,2,contract_106,4,32
hs_n16,1,4,4,1,2,contract_107,4,64
hs_n16,1,2,2,2,2,contract_108,4,32
hs_n16,1,4,4,1,2,contract_109,4,64
hs_n16,1,2,2,2,2,contract_110,4,32
hs_n16,1,4,4,1,2,contract_111,4,64
hs_n16,1,2,2,2,2,contract_112,4,32
hs_n16,1,4,4,1,2,contract_113,4,64
hs_n16,1,2,2,2,2,contract_114,4,32
hs_n16,1,4,4,1,2,contract_115,4,64
hs_n16,1,2,2,2,2,contract_116,4,32
hs_n16,1,4,4,1,2,contract_117,4,64
hs_n16,1,2,2,2,2,contract_118,4,32
hs_n16,1,4,4,1,2,contract_119,4,64
hs_n16,1,1,4,4,2,contract_120,16,64
hs_n16,1,1,4,4,2,contract_121,16,64
hs_n16,1,1,4,4,2,contract_122,16,64
hs_n16,1,1,4,4,2,contract_123,16,64
hs_n16,1,1,16,16,2,contract_124,256,1024
hs_n16,1,1,16,16,2,contract_125,256,1024
hs_n16,1,1,256,256,2,contract_126,65536,262144
hs_n18,1,2,1,2,0,contract_0,2,16
hs_n18,1,2,1,2,0,contract_1,2,16
hs_n18,1,2,2,8,0,contract_2,16,128
hs_n18,1,2,1,8,2,contract_3,8,64
hs_n18,1,2,2,2,0,contract_4,4,32
hs_n18,1,2,2,2,0,contract_5,4,32
hs_n18,1,2,2,8,0,contract_6,16,128
hs_n18,1,2,2,2,0,contract_7,4,32
hs_n18,1,2,1,2,0,contract_8,2,16
hs_n18,1,2,1,2,0,contract_9,2,16
hs_n18,1,2,2,8,0,contract_10,16,128
hs_n18,1,2,1,8,2,contract_11,8,64
hs_n18,1,2,2,2,0,contract_12,4,32
hs_n18,1,2,2,2,0,contract_13,4,32
hs_n18,1,2,2,8,0,contract_14,16,128
hs_n18,1,2,2,2,0,contract_15,4,32
hs_n18,1,2,1,2,0,contract_16,2,16
hs_n18,1,2,1,2,0,contract_17,2,16
hs_n18,1,2,2,8,0,contract_18,16,128
hs_n18,1,2,1,8,2,contract_19,8,64
hs_n18,1,2,2,2,0,contract_20,4,32
hs_n18,1,2,2,2,0,contract_21,4,32
hs_n18,1,2,2,8,0,contract_22,16,128
hs_n18,1,2,2,2,0,contract_23,4,32
hs_n18,1,2,1,2,0,contract_24,2,16
hs_n18,1,2,1,2,0,contract_25,2,16
hs_n18,1,2,2,8,0,contract_26,16,128
hs_n18,1,2,1,8,2,contract_27,8,64
