case_id,B,K,M,N,dependency_count,node_id,output_elements,real_macs,input_source_id,source_row
bb84_n18,1,2,1,2,0,contract_11,2,16,final_contractions,82
bb84_n18,1,2,1,2,0,contract_12,2,16,final_contractions,83
bb84_n18,1,2,2,1,1,contract_13,2,16,final_contractions,84
bb84_n18,1,2,2,1,1,contract_14,2,16,final_contractions,85
bb84_n18,1,2,2,1,1,contract_15,2,16,final_contractions,86
bb84_n18,1,2,2,1,1,contract_16,2,16,final_contractions,87
bb84_n18,1,1,2,2,0,contract_17,4,16,final_contractions,88
bb84_n18,1,1,2,2,0,contract_18,4,16,final_contractions,89
bb84_n18,1,1,2,2,1,contract_19,4,16,final_contractions,90
bb84_n18,1,1,2,2,2,contract_20,4,16,final_contractions,91
bb84_n18,1,1,2,2,2,contract_21,4,16,final_contractions,92
bb84_n18,1,1,2,2,2,contract_22,4,16,final_contractions,93
bb84_n18,1,1,2,2,2,contract_23,4,16,final_contractions,94
bb84_n18,1,1,2,2,2,contract_24,4,16,final_contractions,95
bb84_n18,1,1,2,2,2,contract_25,4,16,final_contractions,96
bb84_n18,1,1,4,4,2,contract_26,16,64,final_contractions,97
bb84_n18,1,1,4,4,2,contract_27,16,64,final_contractions,98
bb84_n18,1,1,4,4,2,contract_28,16,64,final_contractions,99
bb84_n18,1,1,4,4,2,contract_29,16,64,final_contractions,100
bb84_n18,1,1,4,16,2,contract_30,64,256,final_contractions,101
bb84_n18,1,1,16,16,2,contract_31,256,1024,final_contractions,102
bb84_n18,1,1,16,64,2,contract_32,1024,4096,final_contractions,103
bb84_n18,1,1,256,1024,2,contract_33,262144,1048576,final_contractions,104
bb84_n20,1,2,1,2,0,contract_0,2,16,final_contractions,105
bb84_n20,1,2,1,2,0,contract_1,2,16,final_contractions,106
bb84_n20,1,2,1,2,0,contract_2,2,16,final_contractions,107
bb84_n20,1,2,1,2,0,contract_3,2,16,final_contractions,108
bb84_n20,1,2,1,2,0,contract_4,2,16,final_contractions,109
bb84_n20,1,2,1,2,0,contract_5,2,16,final_contractions,110
bb84_n20,1,2,1,2,0,contract_6,2,16,final_contractions,111
bb84_n20,1,2,1,2,0,contract_7,2,16,final_contractions,112
bb84_n20,1,2,1,2,0,contract_8,2,16,final_contractions,113
bb84_n20,1,2,1,2,0,contract_9,2,16,final_contractions,114
bb84_n20,1,2,1,2,0,contract_10,2,16,final_contractions,115
bb84_n20,1,2,1,2,0,contract_11,2,16,final_contractions,116
bb84_n20,1,2,1,2,0,contract_12,2,16,final_contractions,117
bb84_n20,1,2,1,2,0,contract_13,2,16,final_contractions,118
bb84_n20,1,2,1,2,0,contract_14,2,16,final_contractions,119
bb84_n20,1,2,2,1,1,contract_15,2,16,final_contractions,120
bb84_n20,1,2,2,1,1,contract_16,2,16,final_contractions,121
bb84_n20,1,2,2,1,1,contract_17,2,16,final_contractions,122
bb84_n20,1,2,2,1,1,contract_18,2,16,final_contractions,123
bb84_n20,1,2,2,1,1,contract_19,2,16,final_contractions,124
bb84_n20,1,1,2,2,0,contract_20,4,16,final_contractions,125
bb84_n20,1,1,2,2,0,contract_21,4,16,final_contractions,126
bb84_n20,1,1,2,2,1,contract_22,4,16,final_contractions,127
bb84_n20,1,1,2,2,2,contract_23,4,16,final_contractions,128
bb84_n20,1,1,2,2,2,contract_24,4,16,final_contractions,129
bb84_n20,1,1,2,2,2,contract_25,4,16,final_contractions,130
bb84_n20,1,1,2,2,2,contract_26,4,16,final_contractions,131
bb84_n20,1,1,2,2,2,contract_27,4,16,final_contractions,132
bb84_n20,1,1,2,2,2,contract_28,4,16,final_contractions,133
bb84_n20,1,1,2,2,2,contract_29,4,16,final_contractions,134
bb84_n20,1,1,4,4,2,contract_30,16,64,final_contractions,135
bb84_n20,1,1,4,4,2,contract_31,16,64,final_contractions,136
bb84_n20,1,1,4,4,2,contract_32,16,64,final_contractions,137
bb84_n20,1,1,4,4,2,contract_33,16,64,final_contractions,138
bb84_n20,1,1,4,4,2,contract_34,16,64,final_contractions,139
