suite,case_id,arm_id,metric,median,raw_mad,count,quality_qualified,input_source_id,source_row
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,job_to_state_s,17.118377798004076,0.038796295993961394,7,True,final_times,2
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,prepared_call_s,17.0433219379629,0.04028142703464255,7,True,final_times,3
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,session_inclusive_s,16.98035584902391,0.0380692679900676,7,True,final_times,4
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,steady_s,16.727719588030595,0.036729470011778176,7,True,final_times,5
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,kernel_s,15.362517656000001,0.004138516999997677,7,True,final_times,6
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,session_open_s,0.24155801703454927,0.0032137370435521007,7,True,final_times,7
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,session_close_s,0.004677560005802661,0.00016188295558094978,7,True,final_times,8
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,h2d_s,0.34638694999999997,0.01698818099999999,7,True,final_times,9
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,d2h_s,0.356775585,0.02292809899999998,7,True,final_times,10
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,h2d_bytes,4117952.0,0.0,7,True,final_times,11
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,d2h_bytes,6028864.0,0.0,7,True,final_times,12
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,job_to_state_s,3.99892295897007,0.05769274098565802,7,True,final_times,13
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,prepared_call_s,3.924318996956572,0.057943006919231266,7,True,final_times,14
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,session_inclusive_s,3.8598178579704836,0.05800736299715936,7,True,final_times,15
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,steady_s,3.612359513004776,0.05758510297164321,7,True,final_times,16
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,kernel_s,2.2550395720000003,0.012233555999999535,7,True,final_times,17
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,session_open_s,0.24467883200850338,0.0008916829829104245,7,True,final_times,18
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,session_close_s,0.0047269719652831554,0.00012725003762170672,7,True,final_times,19
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,h2d_s,0.36625981900000004,0.00861732799999998,7,True,final_times,20
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,d2h_s,0.32789564099999996,0.015725370999999988,7,True,final_times,21
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,h2d_bytes,4117952.0,0.0,7,True,final_times,22
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,d2h_bytes,6028864.0,0.0,7,True,final_times,23
A,edc_n17,upmem_d4_t8_serial_nodes_v1_0_f32,job_to_state_s,2.4977322830236517,0.007789566996507347,7,True,final_times,24
A,edc_n17,upmem_d4_t8_serial_nodes_v1_0_f32,prepared_call_s,2.4233645540080033,0.007143442984670401,7,True,final_times,25
A,edc_n17,upmem_d4_t8_serial_nodes_v1_0_f32,session_inclusive_s,2.3628136080806144,0.006601462897378951,7,True,final_times,26
A,edc_n17,upmem_d4_t8_serial_nodes_v1_0_f32,steady_s,2.106824519985821,0.005511849012691528,7,True,final_times,27
