suite,case_id,comparison,numerator,denominator,metric,ratio,descriptive_low,descriptive_high,denominator_time_reduction_percent,paired_blocks,equal_quality_claim,parallel_efficiency,input_source_id,source_row,time_reduction_pct,denominator_time_increase_pct,family,n
T,hs_n18,tasklet_scaling,upmem_d1_t1_serial_nodes_v1_0_f32,upmem_d1_t1_serial_nodes_v1_0_f32,job_to_state_s,1.0,1.0,1.0,0.0,5,True,1.0,final_comparisons,2,0.0,0.0,hs,18
T,hs_n18,tasklet_scaling,upmem_d1_t1_serial_nodes_v1_0_f32,upmem_d1_t1_serial_nodes_v1_0_f32,prepared_call_s,1.0,1.0,1.0,0.0,5,True,1.0,final_comparisons,3,0.0,0.0,hs,18
T,hs_n18,tasklet_scaling,upmem_d1_t1_serial_nodes_v1_0_f32,upmem_d1_t1_serial_nodes_v1_0_f32,session_inclusive_s,1.0,1.0,1.0,0.0,5,True,1.0,final_comparisons,4,0.0,0.0,hs,18
T,hs_n18,tasklet_scaling,upmem_d1_t1_serial_nodes_v1_0_f32,upmem_d1_t2_serial_nodes_v1_0_f32,job_to_state_s,1.3706865837420517,1.3288583524595612,1.380052650026542,27.04386167770435,5,True,0.6853432918710258,final_comparisons,5,27.04386167770435,-27.04386167770435,hs,18
T,hs_n18,tasklet_scaling,upmem_d1_t1_serial_nodes_v1_0_f32,upmem_d1_t2_serial_nodes_v1_0_f32,prepared_call_s,1.3896227768250198,1.3442107842581372,1.4003354380654007,28.038024658405615,5,True,0.6948113884125099,final_comparisons,6,28.038024658405615,-28.038024658405615,hs,18
T,hs_n18,tasklet_scaling,upmem_d1_t1_serial_nodes_v1_0_f32,upmem_d1_t2_serial_nodes_v1_0_f32,session_inclusive_s,1.3990272547318832,1.351977771683713,1.4099730965692117,28.521764203110887,5,True,0.6995136273659416,final_comparisons,7,28.521764203110887,-28.521764203110887,hs,18
T,hs_n18,tasklet_scaling,upmem_d1_t1_serial_nodes_v1_0_f32,upmem_d1_t3_serial_nodes_v1_0_f32,job_to_state_s,1.5515441741201201,1.540365740579833,1.573014984545402,35.548080636047665,5,True,0.5171813913733734,final_comparisons,8,35.548080636047665,-35.548080636047665,hs,18
T,hs_n18,tasklet_scaling,upmem_d1_t1_serial_nodes_v1_0_f32,upmem_d1_t3_serial_nodes_v1_0_f32,prepared_call_s,1.5838601457517953,1.5728156558223283,1.6083442199416715,36.86311239775909,5,True,0.5279533819172652,final_comparisons,9,36.86311239775909,-36.86311239775909,hs,18
T,hs_n18,tasklet_scaling,upmem_d1_t1_serial_nodes_v1_0_f32,upmem_d1_t3_serial_nodes_v1_0_f32,session_inclusive_s,1.5989425021003771,1.5876512685641195,1.624175188032173,37.458664167948754,5,True,0.5329808340334591,final_comparisons,10,37.458664167948754,-37.458664167948754,hs,18
T,hs_n18,tasklet_scaling,upmem_d1_t1_serial_nodes_v1_0_f32,upmem_d1_t4_serial_nodes_v1_0_f32,job_to_state_s,1.6689013871853977,1.6541981146464402,1.6839128634398672,40.08034221323885,5,True,0.41722534679634943,final_comparisons,11,40.08034221323885,-40.08034221323885,hs,18
