suite,case_id,family,n,arm_id,backend,dpus,fuse,geometry,policy,schedule,tasklets,threads,warmups,measurements,success,unsupported,complete,quality_qualified,observation_source_rows,source_id,source_row,job_to_state_s,job_to_state_s_mad,prepared_call_s,prepared_call_s_mad,session_inclusive_s,session_inclusive_s_mad,steady_s,steady_s_mad,kernel_s,kernel_s_mad,session_open_s,session_open_s_mad,session_close_s,session_close_s_mad,h2d_s,h2d_s_mad,d2h_s,d2h_s_mad,h2d_bytes,h2d_bytes_mad,d2h_bytes,d2h_bytes_mad
D,hs_n18,hs,18,upmem_d16_t24_static_dag_waves_v1_1_f32,upmem,16,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,24,1,1,5,5,0,True,True,177;178;179;180;181,final_coverage,26,1.3733612259966321,0.002948359993752092,1.0840810629888438,0.0034922229824587703,1.0181214560288936,0.0030905730091035366,0.5269352850154974,0.0008439960074611008,0.05986799,0.0002264090000000038,0.4874204950174317,0.0013395969290286303,0.003774837008677423,5.7519006077200174e-05,0.07994384299999999,0.00046423200000000886,0.11773767300000001,0.0008616049999999875,88944.0,0.0,4252832.0,0.0
D,hs_n18,hs,18,upmem_d16_t8_static_dag_waves_v1_1_f32,upmem,16,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,8,1,1,5,5,0,True,True,171;172;173;174;175,final_coverage,25,1.397812534996774,0.0015955659910105169,1.1093805260024965,0.0019730660133063793,1.0432548329699785,0.002432757057249546,0.558840588957537,0.001306072052102536,0.077718764,0.00012557100000000487,0.48159442300675437,0.0016119279898703098,0.004050238989293575,0.00013103499077260494,0.08052441599999999,0.0010319790000000162,0.12916525999999998,0.0008362590000000336,88944.0,0.0,4252832.0,0.0
D,hs_n18,hs,18,upmem_d1_t24_static_dag_waves_v1_1_f32,upmem,1,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,24,1,1,5,5,0,True,True,129;130;131;132;133,final_coverage,18,1.7087688510073349,0.00895948603283614,1.4097769309883006,0.007188818010035902,1.3445949559682049,0.007370593957602978,0.8462658429634757,0.00535651994869113,0.29182798,0.0014640439999999977,0.4909907589899376,0.002791257982607931,0.004145187034737319,0.00010841299081221223,0.061541099999999974,0.00014911000000004254,0.12933440100000002,0.0012795200000000062,70224.0,0.0,4243472.0,0.0
D,hs_n18,hs,18,upmem_d1_t8_static_dag_waves_v1_1_f32,upmem,1,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,8,1,1,5,5,0,True,True,123;124;125;126;127,final_coverage,17,1.7707144350279123,0.007027435000054538,1.4695526030263864,0.0059032809804193676,1.404072322009597,0.00617998099187389,0.9095470380270854,0.0004830890684388578,0.35400313,0.0004598809999999953,0.4934090769966133,0.004434927017427981,0.004123101010918617,0.00021264399401843548,0.06146892299999996,0.0006426070000000519,0.12955273099999998,0.0005417649999999441,70224.0,0.0,4243472.0,0.0
D,hs_n18,hs,18,upmem_d2_t24_static_dag_waves_v1_1_f32,upmem,2,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,24,1,1,5,5,0,True,True,141;142;143;144;145,final_coverage,20,1.4738927810103633,0.006620356987696141,1.1826398849952966,0.0061268810532055795,1.1175346909440123,0.006071639072615653,0.6238625349942595,0.0017345559899695218,0.135130044,0.0001897329999999975,0.48503102402901277,0.004397168930154294,0.004277084022760391,3.491394454613328e-05,0.066473629,0.0002485330000000091,0.121409696,0.0010555249999999877,70512.0,0.0,4243616.0,0.0
D,hs_n18,hs,18,upmem_d2_t8_static_dag_waves_v1_1_f32,upmem,2,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,8,1,1,5,5,0,True,True,135;136;137;138;139,final_coverage,19,1.498596040008124,0.0012860780116170645,1.205628692987375,0.0036968589993193746,1.1408271699910983,0.003709533018991351,0.6566459499881603,0.0013784699840471148,0.16586509000000002,0.0001216449999999758,0.4826240330003202,0.002874810015782714,0.0043235140037722886,2.91539472527802e-05,0.06611258500000002,0.0004429009999999678,0.121878423,0.0056099819999999995,70512.0,0.0,4243616.0,0.0
D,hs_n18,hs,18,upmem_d32_t24_static_dag_waves_v1_1_f32,upmem,32,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,24,1,1,5,5,0,True,True,189;190;191;192;193,final_coverage,28,1.4525994800496846,0.00796440290287137,1.1608750659506768,0.006900200969539583,1.0936189749627374,0.006245476950425655,0.5972859829780646,0.0031318669789470732,0.057783806,3.246400000000288e-05,0.4897902749944478,0.001878514012787491,0.004437362018506974,7.50180333852768e-05,0.098189258,0.00028982499999999356,0.13823259,0.0018663069999999837,111984.0,0.0,4264352.0,0.0
D,hs_n18,hs,18,upmem_d32_t8_static_dag_waves_v1_1_f32,upmem,32,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,8,1,1,5,5,0,True,True,183;184;185;186;187,final_coverage,27,1.457528037019074,0.006536406057421118,1.1698950720019639,0.00674752303166315,1.1032973680412397,0.007485814043320715,0.6186947130481713,0.007369837025180459,0.076021752,7.669100000000373e-05,0.48158884700387716,0.002188598969951272,0.00430713000241667,0.00016975303879007697,0.09869529299999999,0.001029902000000013,0.136801844,0.004858456999999983,111984.0,0.0,4264352.0,0.0
D,hs_n18,hs,18,upmem_d4_t24_static_dag_waves_v1_1_f32,upmem,4,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,24,1,1,5,5,0,True,True,153;154;155;156;157,final_coverage,22,1.347924975969363,0.005128323973622173,1.054233811039012,0.0028214770136401057,0.9897287070634775,0.003231228096410632,0.49995752004906535,0.0021640840568579733,0.06889551499999999,0.00015153600000000766,0.48486609797691926,0.0013534940662793815,0.0038379449979402125,0.00010625901632010937,0.06551573400000002,0.0003377109999999628,0.10631351799999997,0.0012802059999999504,71088.0,0.0,4243904.0,0.0
D,hs_n18,hs,18,upmem_d4_t8_static_dag_waves_v1_1_f32,upmem,4,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,8,1,1,5,5,0,True,True,147;148;149;150;151,final_coverage,21,1.3644265140173957,0.009074595989659429,1.0710321300430223,0.004621382046025246,1.0064779710373841,0.005057576112449169,0.5259969549952075,0.0031578909838572145,0.08449304199999999,0.00010896399999998918,0.4788889699848369,0.002227956021670252,0.004213362000882626,0.00015749596059322357,0.06599944999999999,0.0003130499999999814,0.10984622500000002,0.0020706739999999807,71088.0,0.0,4243904.0,0.0
