cell_id,family,topology_id,contrast,metric,ratio_of_medians,denominator_time_reduction_pct,paired_bootstrap_low,paired_bootstrap_high,same_selected_path,input_source_id,source_row,ratio,time_reduction_pct,denominator_time_increase_pct
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,G/U,session_inclusive_s,0.9910508745871792,-0.9029935437520731,0.977952391032153,1.0196292809631657,False,p6_contrasts,28,0.9910508745871792,-0.9029935437520731,0.9029935437520731
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,F/R,session_inclusive_s,1.0,0.0,1.0,1.0,True,p6_contrasts,29,1.0,0.0,0.0
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,G/R,session_inclusive_s,0.9910508745871792,-0.9029935437520731,0.977952391032153,1.0196292809631657,False,p6_contrasts,30,0.9910508745871792,-0.9029935437520731,0.9029935437520731
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,G/F,session_inclusive_s,0.9910508745871792,-0.9029935437520731,0.977952391032153,1.0196292809631657,False,p6_contrasts,31,0.9910508745871792,-0.9029935437520731,0.9029935437520731
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,R/U,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,32,1.0,0.0,0.0
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,F/U,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,33,1.0,0.0,0.0
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,G/U,total_wall_s,0.9967652972751319,-0.324519998209305,0.9652332269986746,1.010687217884352,False,p6_contrasts,34,0.9967652972751319,-0.324519998209305,0.324519998209305
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,F/R,total_wall_s,1.0,0.0,1.0,1.0,True,p6_contrasts,35,1.0,0.0,0.0
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,G/R,total_wall_s,0.9967652972751319,-0.324519998209305,0.9652332269986746,1.010687217884352,False,p6_contrasts,36,0.9967652972751319,-0.324519998209305,0.324519998209305
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,G/F,total_wall_s,0.9967652972751319,-0.324519998209305,0.9652332269986746,1.010687217884352,False,p6_contrasts,37,0.9967652972751319,-0.324519998209305,0.324519998209305
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,R/U,session_inclusive_s,1.0,0.0,1.0,1.0,True,p6_contrasts,38,1.0,0.0,0.0
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,F/U,session_inclusive_s,1.0,0.0,1.0,1.0,True,p6_contrasts,39,1.0,0.0,0.0
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,G/U,session_inclusive_s,0.9554588996200603,-4.661749489972999,0.9402024861302737,1.0051108659413024,False,p6_contrasts,40,0.9554588996200603,-4.661749489972999,4.661749489972999
bv_test_total17_r1/4dpu_t8,BV,4dpu_t8,F/R,session_inclusive_s,1.0,0.0,1.0,1.0,True,p6_contrasts,41,1.0,0.0,0.0
