suite,case_id,family,n,arm_id,backend,dpus,fuse,geometry,policy,schedule,tasklets,threads,warmups,measurements,success,unsupported,complete,quality_qualified,observation_source_rows,source_id,source_row,job_to_state_s,job_to_state_s_mad,prepared_call_s,prepared_call_s_mad,session_inclusive_s,session_inclusive_s_mad,steady_s,steady_s_mad,kernel_s,kernel_s_mad,session_open_s,session_open_s_mad,session_close_s,session_close_s_mad,h2d_s,h2d_s_mad,d2h_s,d2h_s_mad,h2d_bytes,h2d_bytes_mad,d2h_bytes,d2h_bytes_mad
A,edc_n17,edc,17,upmem_d1_t1_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,1,1,1,7,7,0,True,True,3;4;5;6;7;8;9,final_coverage,2,17.118377798004076,0.038796295993961394,17.0433219379629,0.04028142703464255,16.98035584902391,0.0380692679900676,16.727719588030595,0.036729470011778176,15.362517656000001,0.004138516999997677,0.24155801703454927,0.0032137370435521007,0.004677560005802661,0.00016188295558094978,0.34638694999999997,0.01698818099999999,0.356775585,0.02292809899999998,4117952.0,0.0,6028864.0,0.0
A,edc_n17,edc,17,upmem_d1_t8_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,1,7,7,0,True,True,11;12;13;14;15;16;17,final_coverage,3,3.99892295897007,0.05769274098565802,3.924318996956572,0.057943006919231266,3.8598178579704836,0.05800736299715936,3.612359513004776,0.05758510297164321,2.2550395720000003,0.012233555999999535,0.24467883200850338,0.0008916829829104245,0.0047269719652831554,0.00012725003762170672,0.36625981900000004,0.00861732799999998,0.32789564099999996,0.015725370999999988,4117952.0,0.0,6028864.0,0.0
A,edc_n17,edc,17,upmem_d4_t8_serial_nodes_v1_0_f32,upmem,4,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,1,7,7,0,True,True,19;20;21;22;23;24;25,final_coverage,4,2.4977322830236517,0.007789566996507347,2.4233645540080033,0.007143442984670401,2.3628136080806144,0.006601462897378951,2.106824519985821,0.005511849012691528,0.579348907,0.0010242409999998703,0.25406306801596656,0.0019457610324025154,0.004323519009631127,0.00020085700089111924,0.45941434999999997,0.00464235699999993,0.32378964099999996,0.004876516999999914,4183040.0,0.0,6061408.0,0.0
A,edc_n17,edc,17,upmem_d4_t8_serial_nodes_v1_1_f32,upmem,4,True,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,1,7,7,0,True,True,27;28;29;30;31;32;33,final_coverage,5,1.6450567549909465,0.007614978007040918,1.5705432599643245,0.007390284969005734,1.5133465469116345,0.007219660910777748,1.2888088779873215,0.0035918470239266753,0.530672052,0.0002472059999999443,0.22091151296626776,0.0015638969489373267,0.003884191974066198,0.00022615492343902588,0.165213359,0.0005708180000000007,0.185867366,0.0011621679999999912,2044288.0,0.0,5990560.0,0.0
A,edc_n17,edc,17,upmem_d4_t8_static_dag_waves_v1_1_f32,upmem,4,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,8,1,1,7,7,0,True,True,35;36;37;38;39;40;41,final_coverage,6,2.0383899139706045,0.014723315951414406,1.896784924028907,0.014754966017790139,1.8395432949764654,0.015086517960298806,1.5523893439676613,0.008206203987356275,0.798055001,0.0007197119999999835,0.2845898650120944,0.0020940480171702802,0.0038114719791337848,0.00011973298387601972,0.167623768,0.0014005620000000218,0.19524417600000002,0.0053690550000000115,2048896.0,0.0,5992864.0,0.0
A,hs_n18,hs,18,upmem_d1_t1_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,1,1,1,7,7,0,True,True,43;44;45;46;47;48;49,final_coverage,7,4.218865870963782,0.0599497560178861,4.0612242899951525,0.06275779899442568,3.9959925930015743,0.06273996300296858,3.6301682390039787,0.05594541702885181,2.460483321,0.007989863000000152,0.3688337820349261,0.0005619620787911117,0.004228894016705453,0.0001349869999103248,0.17783256999999997,0.004780229000000136,0.22704842300000003,0.01143513300000007,146272.0,0.0,4274144.0,0.0
A,hs_n18,hs,18,upmem_d1_t8_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,1,7,7,0,True,True,51;52;53;54;55;56;57,final_coverage,8,2.224601587979123,0.14036526897689328,2.0691451969905756,0.13781710102921352,2.004314413992688,0.13755535404197872,1.6294688619673252,0.130871155008208,0.48731448599999994,0.01710801499999981,0.37113032600609586,0.001655066036619246,0.003941339033190161,0.00022611301392316818,0.16121485700000007,0.017811673,0.22063660899999996,0.02714188600000003,146272.0,0.0,4274144.0,0.0
A,hs_n18,hs,18,upmem_d4_t8_serial_nodes_v1_0_f32,upmem,4,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,1,7,7,0,True,True,59;60;61;62;63;64;65,final_coverage,9,2.544167293992359,0.07111458701547235,2.3886246610200033,0.0723217569757253,2.323329286999069,0.07245106500340626,1.9089804840041324,0.06940120400395244,0.19018043,0.0006234689999999876,0.41007144399918616,0.0033126689959317446,0.004078869009390473,0.00016300496645271778,0.38464892799999983,0.006941530000000085,0.34402502599999996,0.011337898999999985,391648.0,0.0,4396832.0,0.0
A,hs_n18,hs,18,upmem_d4_t8_serial_nodes_v1_1_f32,upmem,4,True,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,1,7,7,0,True,True,67;68;69;70;71;72;73,final_coverage,10,1.3613684669835493,0.00351628998760134,1.2051983559504151,0.0027006849413737655,1.1400888680364005,0.002867261995561421,0.7714444500161335,0.003789035021327436,0.11541773200000002,0.0001230159999999758,0.3639686420210637,0.0026736189611256123,0.004102882987353951,0.00023473199689760804,0.11252108200000004,0.0011521789999999615,0.13956385999999998,0.002792647000000037,131568.0,0.0,4274144.0,0.0
A,hs_n18,hs,18,upmem_d4_t8_static_dag_waves_v1_1_f32,upmem,4,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,8,1,1,7,7,0,True,True,75;76;77;78;79;80;81,final_coverage,11,1.3639268610277213,0.0017591380164958537,1.0731886249850504,0.0056818980374373496,1.0082198439049534,0.005376844143029302,0.5250110590131953,0.0023060549865476787,0.084427459,9.87080000000029e-05,0.47725509601878,0.00390251399949193,0.004037282022181898,6.37139892205596e-05,0.066229006,0.0005517899999999964,0.11059529300000001,0.0005209029999999892,71088.0,0.0,4243904.0,0.0
A,stress_n16_l2,stress,16,upmem_d1_t1_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,1,1,1,7,7,0,True,True,83;84;85;86;87;88;89,final_coverage,12,7.927062413014937,0.008017583983018994,7.788959640020039,0.006535423977766186,7.745686715992633,0.006883980066049844,7.401826177025214,0.010116987978108227,6.302152263,0.002291195999999829,0.33806581498356536,0.002072828996460885,0.003905844991095364,0.00034460698952898383,0.185117608,0.0008153829999999751,0.18778997899999994,0.0016992199999999458,491936.0,0.0,1467584.0,0.0
