suite,case_id,comparison,numerator,denominator,metric,ratio,descriptive_low,descriptive_high,denominator_time_reduction_percent,paired_blocks,equal_quality_claim,parallel_efficiency,input_source_id,source_row,time_reduction_pct,denominator_time_increase_pct,family,n
W,bb84_n18,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.03257382800436462,0.02699303948308396,0.03640971079783488,-2969.949285254433,5,True,,final_comparisons,165,-2969.949285254433,2969.949285254433,bb84,18
W,bb84_n18,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.022635345612978763,0.0214879232269463,0.02513321132196058,-4317.869367219271,5,True,,final_comparisons,166,-4317.869367219271,4317.869367219271,bb84,18
W,bb84_n18,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.023733451516707575,0.02247910330011632,0.02650596885921204,-4113.462164557198,5,True,,final_comparisons,167,-4113.462164557198,4113.462164557198,bb84,18
W,bb84_n18,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.06479352728121204,0.0608638680403994,0.07234566122938614,-1443.364039528014,5,True,,final_comparisons,168,-1443.364039528014,1443.364039528014,bb84,18
W,bb84_n18,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.06291051212146703,0.058926319904664,0.0707156327072639,-1489.559465148224,5,True,,final_comparisons,169,-1489.559465148224,1489.559465148224,bb84,18
W,bb84_n20,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.04148720690938589,0.039496865582617516,0.04713301405464044,-2310.3815959077356,5,True,,final_comparisons,170,-2310.3815959077356,2310.3815959077356,bb84,20
W,bb84_n20,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.04270770693370956,0.04071290024641739,0.04852198072457505,-2241.4977571897953,5,True,,final_comparisons,171,-2241.4977571897953,2241.4977571897953,bb84,20
W,bb84_n22,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.032990228401093384,0.031716657977844884,0.03723538192122233,-2931.200596255518,5,True,,final_comparisons,172,-2931.200596255518,2931.200596255518,bb84,22
W,bb84_n22,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.03337170340669654,0.03207053849531046,0.03770948871593923,-2896.5506639356468,5,True,,final_comparisons,173,-2896.5506639356468,2896.5506639356468,bb84,22
W,bb84_n24,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.037472402417079394,0.037048417892615246,0.038060854086816226,-2568.6306067854725,5,True,,final_comparisons,174,-2568.6306067854725,2568.6306067854725,bb84,24
W,bb84_n24,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.0376253459764988,0.03719764903432135,0.03821574745032088,-2557.7828696236065,5,True,,final_comparisons,175,-2557.7828696236065,2557.7828696236065,bb84,24
W,bv_n08,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.03861112435392669,0.0357312399567387,0.16270877173673753,-2489.9271692623,5,True,,final_comparisons,176,-2489.9271692623,2489.9271692623,bv,8
W,bv_n08,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.04153689289595704,0.03832839502201957,0.18011811467782587,-2307.498323249244,5,True,,final_comparisons,177,-2307.498323249244,2307.498323249244,bv,8
W,bv_n08,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.0009576343107054132,0.0008914026561700836,0.0012937660010651642,-104323.99450614708,5,True,,final_comparisons,178,-104323.99450614708,104323.99450614708,bv,8
W,bv_n08,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.0009392580678307155,0.0008693249392944548,0.0013044773984146557,-106367.01202253948,5,True,,final_comparisons,179,-106367.01202253948,106367.01202253948,bv,8
W,bv_n08,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.02947675676579711,0.02736252336373609,0.03950745553853068,-3292.503483152306,5,True,,final_comparisons,180,-3292.503483152306,3292.503483152306,bv,8
W,bv_n08,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.022857242096779928,0.021126779475822498,0.031652813682195045,-4274.981004995689,5,True,,final_comparisons,181,-4274.981004995689,4274.981004995689,bv,8
W,bv_n12,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.03323583947674432,0.029810985366277874,0.09036829943976984,-2908.800186015211,5,True,,final_comparisons,182,-2908.800186015211,2908.800186015211,bv,12
W,bv_n12,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.03649187439537449,0.03278897766468144,0.0990324883935849,-2640.3360791101336,5,True,,final_comparisons,183,-2640.3360791101336,2640.3360791101336,bv,12
W,bv_n12,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.0015691559104268696,0.0015195596988149362,0.001733349947108105,-63628.5303107938,5,True,,final_comparisons,184,-63628.5303107938,63628.5303107938,bv,12
W,bv_n12,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.0016435535338114786,0.001584968257228526,0.0018366760768082535,-60743.7741410803,5,True,,final_comparisons,185,-60743.7741410803,60743.7741410803,bv,12
W,bv_n12,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.03321958012279507,0.032431142542306925,0.03699064828367318,-2910.272846024945,5,True,,final_comparisons,186,-2910.272846024945,2910.272846024945,bv,12
W,bv_n12,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.02678126597099036,0.02619854917363691,0.030152109063112376,-3633.9534325345426,5,True,,final_comparisons,187,-3633.9534325345426,3633.9534325345426,bv,12
W,bv_n16,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.023447440302718437,0.021610815395227353,0.060459042537439736,-4164.857856932308,5,True,,final_comparisons,188,-4164.857856932308,4164.857856932308,bv,16
W,bv_n16,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.02576060694660264,0.023737790799476226,0.06654598727231074,-3781.8961139884245,5,True,,final_comparisons,189,-3781.8961139884245,3781.8961139884245,bv,16
W,bv_n16,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.00997304477522116,0.009923002541348461,0.012238208795322251,-9927.028079574868,5,True,,final_comparisons,190,-9927.028079574868,9927.028079574868,bv,16
W,bv_n16,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.010926326742912511,0.010870562781889057,0.013720325679340702,-9052.206624688957,5,True,,final_comparisons,191,-9052.206624688957,9052.206624688957,bv,16
W,bv_n16,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.034779426202889784,0.03424550741521319,0.042358094790988725,-2775.263076988059,5,True,,final_comparisons,192,-2775.263076988059,2775.263076988059,bv,16
W,bv_n16,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.029711488666758074,0.02922990300804845,0.037042158989769855,-3265.7014335967083,5,True,,final_comparisons,193,-3265.7014335967083,3265.7014335967083,bv,16
W,bv_n18,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.02221020603645517,0.021049372437549462,0.053351885621243114,-4402.434594071887,5,True,,final_comparisons,194,-4402.434594071887,4402.434594071887,bv,18
W,bv_n18,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.02429662032005555,0.022959041522852053,0.05825126859979346,-4015.7987688293993,5,True,,final_comparisons,195,-4015.7987688293993,4015.7987688293993,bv,18
W,bv_n18,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.03253872537867266,0.03126492119042488,0.034250572309864315,-2973.2611322736225,5,True,,final_comparisons,196,-2973.2611322736225,2973.2611322736225,bv,18
W,bv_n18,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.03563234571506197,0.03412165513980487,0.037667543859326094,-2706.438868764385,5,True,,final_comparisons,197,-2706.438868764385,2706.438868764385,bv,18
W,bv_n18,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.05324684309531604,0.050797319787479464,0.05554439349177673,-1778.0456114739447,5,True,,final_comparisons,198,-1778.0456114739447,1778.0456114739447,bv,18
W,bv_n18,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.051124843339896885,0.048501255249719204,0.05352934008580877,-1855.9962137226119,5,True,,final_comparisons,199,-1855.9962137226119,1855.9962137226119,bv,18
W,bv_n20,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.04022918654532078,0.03459621919910148,0.042238810567503275,-2385.7574459613675,5,True,,final_comparisons,200,-2385.7574459613675,2385.7574459613675,bv,20
W,bv_n20,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.042845571980785,0.03681015206197284,0.04525945119856636,-2233.96347339807,5,True,,final_comparisons,201,-2233.96347339807,2233.96347339807,bv,20
W,bv_n22,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.05311485303718192,0.051203304799513474,0.0554013406314178,-1782.712542384277,5,True,,final_comparisons,202,-1782.712542384277,1782.712542384277,bv,22
W,bv_n22,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.05482577279092536,0.052845992059952995,0.057233422008198975,-1723.959698321877,5,True,,final_comparisons,203,-1723.959698321877,1723.959698321877,bv,22
W,bv_n24,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.07372562873849813,0.07290246768076804,0.07556964634406957,-1256.38042985969,5,True,,final_comparisons,204,-1256.38042985969,1256.38042985969,bv,24
W,bv_n24,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.07454582960430435,0.07371403837889527,0.07642320766882645,-1241.4566653937393,5,True,,final_comparisons,205,-1241.4566653937393,1241.4566653937393,bv,24
W,edc_n07,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.0009468663328291587,0.0009350288075075779,0.0010070434980620642,-105511.52776570714,5,True,,final_comparisons,206,-105511.52776570714,105511.52776570714,edc,7
W,edc_n07,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.0009176853143715977,0.0009085845913062736,0.0009800695148521209,-108869.81616021271,5,True,,final_comparisons,207,-108869.81616021271,108869.81616021271,edc,7
W,edc_n07,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.0007817752722553742,0.0007653213435431526,0.0008311813545979012,-127813.99721752015,5,True,,final_comparisons,208,-127813.99721752015,127813.99721752015,edc,7
W,edc_n07,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.0007604933827073675,0.0007434806345835759,0.0008101625314339562,-131393.58334190698,5,True,,final_comparisons,209,-131393.58334190698,131393.58334190698,edc,7
W,edc_n07,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.020352557386581975,0.019840046379963363,0.02183757848889475,-4813.387448101631,5,True,,final_comparisons,210,-4813.387448101631,4813.387448101631,edc,7
W,edc_n07,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.015093462773340586,0.01459155676294886,0.016257978877774193,-6525.384876996475,5,True,,final_comparisons,211,-6525.384876996475,6525.384876996475,edc,7
W,edc_n11,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.03154526942301573,0.03154526942301573,0.03754731622765612,-3070.047421659967,5,True,,final_comparisons,212,-3070.047421659967,3070.047421659967,edc,11
W,edc_n11,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.03368177014388767,0.03368177014388767,0.04087844243173405,-2868.9650981169493,5,True,,final_comparisons,213,-2868.9650981169493,2868.9650981169493,edc,11
W,edc_n11,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.0009769772005244987,0.0009522934630103825,0.0012638598636034607,-102256.53395628284,5,True,,final_comparisons,214,-102256.53395628284,102256.53395628284,edc,11
W,edc_n11,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.0009739026760110225,0.0009451615159252289,0.0012857555125645843,-102579.66447077329,5,True,,final_comparisons,215,-102579.66447077329,102579.66447077329,edc,11
W,edc_n11,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.04364285212108866,0.04291888250089024,0.055932859930738585,-2191.3259592326003,5,True,,final_comparisons,216,-2191.3259592326003,2191.3259592326003,edc,11
W,edc_n11,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.038106125950099816,0.03736343926263651,0.04981025499958385,-2524.2499731132616,5,True,,final_comparisons,217,-2524.2499731132616,2524.2499731132616,edc,11
W,edc_n15,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.02533900090226594,0.022184071275468762,0.07696213429851849,-3846.485513998995,5,True,,final_comparisons,218,-3846.485513998995,3846.485513998995,edc,15
W,edc_n15,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.027368368823591865,0.02395105157611652,0.08360273198774243,-3553.8531267453104,5,True,,final_comparisons,219,-3553.8531267453104,3553.8531267453104,edc,15
W,edc_n15,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.0031359176001740027,0.0030679893555505817,0.0036705723875080916,-31788.592989321944,5,True,,final_comparisons,220,-31788.592989321944,31788.592989321944,edc,15
W,edc_n15,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.003335283891380552,0.0032588612561835215,0.003962691885123044,-29882.45524419442,5,True,,final_comparisons,221,-29882.45524419442,29882.45524419442,edc,15
W,edc_n15,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.04211502679436151,0.04119112285596249,0.04899950121173015,-2274.449397557746,5,True,,final_comparisons,222,-2274.449397557746,2274.449397557746,edc,15
W,edc_n15,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.03725109065786445,0.03637525761350994,0.043917252217100265,-2584.485158259064,5,True,,final_comparisons,223,-2584.485158259064,2584.485158259064,edc,15
W,edc_n17,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.010308896246741894,0.010284690341714364,0.036700967863788646,-9600.359534766372,5,True,,final_comparisons,224,-9600.359534766372,9600.359534766372,edc,17
W,edc_n17,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.011360540442305332,0.011332975948491584,0.04094467612965036,-8702.398134829187,5,True,,final_comparisons,225,-8702.398134829187,8702.398134829187,edc,17
W,edc_n17,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.005085481585734323,0.005073329733610812,0.00555468644661559,-19563.821078522382,5,True,,final_comparisons,226,-19563.821078522382,19563.821078522382,edc,17
W,edc_n17,cpu_vs_upmem,quest32_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.005593428593052443,0.005577371094299742,0.006173728686970743,-17778.12221724065,5,True,,final_comparisons,227,-17778.12221724065,17778.12221724065,edc,17
W,edc_n17,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.05580084290016741,0.05567079416067173,0.061338164610379435,-1692.08762453479,5,True,,final_comparisons,228,-1692.08762453479,1692.08762453479,edc,17
W,edc_n17,cpu_vs_upmem,numpy_p1,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.057523107621880676,0.05735208866296275,0.06376597326502108,-1638.4318082627708,5,True,,final_comparisons,229,-1638.4318082627708,1638.4318082627708,edc,17
W,edc_n19,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.025063175837878326,0.014610376243350024,0.02584902193843492,-3889.9173451462048,5,True,,final_comparisons,230,-3889.9173451462048,3889.9173451462048,edc,19
W,edc_n19,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.026256015162955285,0.015289931422898596,0.02707690309509017,-3708.65106069448,5,True,,final_comparisons,231,-3708.65106069448,3708.65106069448,edc,19
W,edc_n21,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,job_to_state_s,0.025077403035508004,0.021254260559725742,0.025878160652520486,-3887.6537398392634,5,True,,final_comparisons,232,-3887.6537398392634,3887.6537398392634,edc,21
W,edc_n21,cpu_vs_upmem,quest32_p8,upmem_d64_t24_static_dag_waves_v1_1_f32,prepared_call_s,0.025762368340032826,0.02183215449976827,0.026597389403034723,-3781.6307056912683,5,True,,final_comparisons,233,-3781.6307056912683,3781.6307056912683,edc,21
