cell_id,method,path_id,H,P,N,M_total,W_total,launch_count
qrng_test_total17_r1/1dpu_t8,G,051b2b096cad4fa6d299a3ca8780ac89ed229b616b33f001bc9d43cb3f09508d,2138976,24413856,73,2256320,528112,40
qrng_test_total17_r1/1dpu_t8,F,0169c3e1ddd06d890f843ad59892ca101715643579afeb88984b6f0dd9a87287,2138976,24413856,73,2256672,528112,40
qrng_test_total17_r1/1dpu_t8,R,051b2b096cad4fa6d299a3ca8780ac89ed229b616b33f001bc9d43cb3f09508d,2138976,24413856,73,2256320,528112,40
qrng_test_total17_r1/1dpu_t8,U,051b2b096cad4fa6d299a3ca8780ac89ed229b616b33f001bc9d43cb3f09508d,2138976,24413856,73,2256320,528112,40
qrng_test_total17_r1/4dpu_t8,G,051b2b096cad4fa6d299a3ca8780ac89ed229b616b33f001bc9d43cb3f09508d,2142432,24413856,25,2256320,528112,14
qrng_test_total17_r1/4dpu_t8,F,03597cad4488850e7b3ec1dbf6690a09e260f2f0a0db55fa6ab23da64e1d94de,2142432,24413856,25,2256672,528112,14
qrng_test_total17_r1/4dpu_t8,R,051b2b096cad4fa6d299a3ca8780ac89ed229b616b33f001bc9d43cb3f09508d,2142432,24413856,25,2256320,528112,14
qrng_test_total17_r1/4dpu_t8,U,051b2b096cad4fa6d299a3ca8780ac89ed229b616b33f001bc9d43cb3f09508d,2142432,24413856,25,2256320,528112,14
xor_test_total17_r1/1dpu_t8,G,fe5e9913e7333355a7453a6dd446a5f0adf2e6f3aeb6c3eb7e6398ff55ca4dc4,4262784,48746960,262,5126880,1749728,214
xor_test_total17_r1/1dpu_t8,F,0988b7ab4272e9b4d829dad3334536fdad8e3a4d461ca76d0845a77a7f067db8,2181400,24818128,103,2293664,1064928,55
xor_test_total17_r1/1dpu_t8,R,1ce22e41a7aaca9e40fad51b5451b7525600c677cd261dbe537b7a9317afe8cd,2181400,24785360,103,2293504,1064928,55
xor_test_total17_r1/1dpu_t8,U,1ce22e41a7aaca9e40fad51b5451b7525600c677cd261dbe537b7a9317afe8cd,2181400,24785360,103,2293504,1064928,55
xor_test_total17_r1/4dpu_t8,G,fe5e9913e7333355a7453a6dd446a5f0adf2e6f3aeb6c3eb7e6398ff55ca4dc4,4275312,48746960,82,5126880,1749728,68
xor_test_total17_r1/4dpu_t8,F,1ce22e41a7aaca9e40fad51b5451b7525600c677cd261dbe537b7a9317afe8cd,2185072,24785360,33,2293504,1064928,18
xor_test_total17_r1/4dpu_t8,R,024bd2531871141d35fb8c6b904e5b8ab55db33e5f3b4809ceeb459abd3b57c5,2214896,25041744,33,2307328,1071456,18
xor_test_total17_r1/4dpu_t8,U,cb52f0db4aeb318739f7c4b6cd277604b14e89d91aa3bca1a049b905887f342f,2219216,25094928,31,2312864,1073184,17
