cell_id,family,topology_id,method,path_id,n,block,sample_id,session_instance_id,session_inclusive_s,total_wall_s,session_open_s,session_close_s,kernel_s,h2d_s,d2h_s,request_build_sum_s,request_wave_wall_sum_s
bb84_test_total17_r1/1dpu_t8,BB84,1dpu_t8,R,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,3,804fe9c4544c87df0e9e74eaa3cf649555a7fd904277e43a9c2b91594c5d5e20,1c470b44-4fd8-405f-93b7-b5597e3a8b86,0.450997437001206,0.3391882689902559,0.10808382404502481,0.0037253439659252763,0.158178562,0.015729475,0.05095122,0.01700956269633025,0.29576630296651274
bb84_test_total17_r1/1dpu_t8,BB84,1dpu_t8,R,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,4,275a0f6a1f35bf3e5458104bfbce7ffc6f3871488fe7d77562316cf7d05419d7,5de4b508-477d-4f46-bd17-91ba74ee1843,0.4458693679771386,0.3332253280095756,0.1069224170059897,0.005721622961573303,0.157461625,0.015542672,0.04873066,0.016818661883007735,0.28966481500538066
bb84_test_total17_r1/1dpu_t8,BB84,1dpu_t8,R,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,5,8da5182985cfcdc68da0d0d883adb28c5a8f2d3739dc23b6d1319a031112b012,33c6f73b-06d0-4bf3-85b3-4a4df2668387,0.44752983696525916,0.3327539259917103,0.10944393201498315,0.005331978958565742,0.15822103199999998,0.015453868999999999,0.047678137999999995,0.01681099977577105,0.2895879771676846
bb84_test_total17_r1/1dpu_t8,BB84,1dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,1,70a177b287934df988970e4b136deeb9d8f3e6281ca84ae53e8017c020716ab6,3c8eff11-8bb7-4213-8a0d-2a06fa202ec1,0.44830207899212837,0.335614405979868,0.10830355802318081,0.004384114989079535,0.157863566,0.015770682999999997,0.049019775,0.016801902966108173,0.29257958102971315
bb84_test_total17_r1/1dpu_t8,BB84,1dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,2,8c42f1f5684df5deebcad814403300655916d9714bcdc1493c5db3ead1cc7376,ddc72c08-db95-427a-93c4-abcbb0e7dbd1,0.4466051259660162,0.3336885279859416,0.10799950099317357,0.004917096986901015,0.158053532,0.015725992,0.048484824,0.016817360010463744,0.28983478498412296
bb84_test_total17_r1/1dpu_t8,BB84,1dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,3,804fe9c4544c87df0e9e74eaa3cf649555a7fd904277e43a9c2b91594c5d5e20,1c470b44-4fd8-405f-93b7-b5597e3a8b86,0.450997437001206,0.3391882689902559,0.10808382404502481,0.0037253439659252763,0.158178562,0.015729475,0.05095122,0.01700956269633025,0.29576630296651274
bb84_test_total17_r1/1dpu_t8,BB84,1dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,4,275a0f6a1f35bf3e5458104bfbce7ffc6f3871488fe7d77562316cf7d05419d7,5de4b508-477d-4f46-bd17-91ba74ee1843,0.4458693679771386,0.3332253280095756,0.1069224170059897,0.005721622961573303,0.157461625,0.015542672,0.04873066,0.016818661883007735,0.28966481500538066
bb84_test_total17_r1/1dpu_t8,BB84,1dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,5,8da5182985cfcdc68da0d0d883adb28c5a8f2d3739dc23b6d1319a031112b012,33c6f73b-06d0-4bf3-85b3-4a4df2668387,0.44752983696525916,0.3327539259917103,0.10944393201498315,0.005331978958565742,0.15822103199999998,0.015453868999999999,0.047678137999999995,0.01681099977577105,0.2895879771676846
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,G,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,1,363ef95fc50010f03ba52fe0a5b877c27ebcd089a6b4b70d266d5e27ce1c8c19,df0837cd-74ac-49a3-9e99-84d9ac31965a,0.34776593995047733,0.2330517820082605,0.11053208698285744,0.004182070959359407,0.074416836,0.017889884999999998,0.04694793,0.01273996604140848,0.19610750902211294
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,G,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,2,de58f0e8da6bebbbe959c73805a1979f8880623d9203fdcabedfaf5befc64906,714755fa-4418-4a81-b887-6384c4e44902,0.35268819599878043,0.23342618899187073,0.11241225502453744,0.006849751982372254,0.074425717,0.018191904000000002,0.04667792,0.012665573915001005,0.1957298120833002
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,G,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,3,0d3cca5b55f8c543c10d51f81652ebf9099318e4a1251e6fb21a6dcb141b1a52,dc1cf8b6-db07-420c-8fa1-04c8e0b87a8e,0.35633034398779273,0.24307852500351146,0.10715645697200671,0.006095362012274563,0.074443556,0.018130128,0.051085440999999995,0.013124706863891333,0.20542670093709603
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,G,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,4,164397346cc91bf403a80b768a2524f863bc5af31383ac699dd447e89c8a652d,f0380565-e025-4fa4-99cb-154894409784,0.35466637497302145,0.24372275598580018,0.10572594299446791,0.005217675992753357,0.074467304,0.018207687000000004,0.051557806,0.0138250439777039,0.20599369995761663
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,G,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,5,cdfaf69d5a6e5bbca0b10cc24b151f183243ff6bd500ca45b6783663c3184a54,fc122ac4-6f5f-4ec2-9dc8-209f94f35a94,0.3397535129915923,0.2295332860085182,0.10516084701521322,0.0050593799678608775,0.07446699,0.017950601,0.047321917,0.012666656984947622,0.19374113308731467
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,F,00f4b33065a6e9ba2d1f748a7acdbb43d64f1d6769b61127c1d3d13235633016,5,1,4e71421111e0c454eaf64149d073be34f57b5eec7bb19231fbd5a57fc37db123,c62866b9-dc3b-48a4-b6d1-a5b6a9ce16a7,0.35013242793502286,0.2337737279594876,0.11167745594866574,0.0046812440268695354,0.074433948,0.018085064999999997,0.04730461700000001,0.012637536914553493,0.19632403698051348
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,F,00f4b33065a6e9ba2d1f748a7acdbb43d64f1d6769b61127c1d3d13235633016,5,2,9b90f6b14181a0e6a70ef2563e67a627c842a518c95853e8de3ec7d493789b85,6c5e670b-9551-4018-9db4-da66a1e29634,0.34530252794502303,0.23464272898854688,0.10616056196158752,0.0044992369948886335,0.074446237,0.018129816,0.047053801,0.01312380185117945,0.1966993159148842
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,F,00f4b33065a6e9ba2d1f748a7acdbb43d64f1d6769b61127c1d3d13235633016,5,3,7a39596e6084f3ab3f9d6420471656b5295e63b1563986cb371b47ba517d4b48,87f0536d-556e-4d1a-bf09-4a2df60b39ab,0.34445882495492697,0.2295847269706428,0.11063245899276808,0.0042416389915160835,0.074569468,0.018058112,0.036696164,0.01326648611575365,0.1920168329961598
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,F,00f4b33065a6e9ba2d1f748a7acdbb43d64f1d6769b61127c1d3d13235633016,5,4,1d64cf9782b63b511bbd3fdc16e0595a7fa88afecf2fa412c03e8ba676f28549,166fabb1-4be4-4517-9eb0-1eabccbf8e35,0.3512628150638193,0.2329658480011858,0.1134679620154202,0.004829005047213286,0.07445047299999999,0.018128925000000004,0.047627511,0.012784531805664301,0.19636839593295008
