group,contrast,metric,cells,families,family_balanced_geometric_ratio,paired_bootstrap_low,paired_bootstrap_high,worst_cell_ratio,cells_denominator_slower,cells_same_path
all,R/U,session_inclusive_s,12,6,1.0013425605931643,0.9948355448727421,1.0085087497299605,0.9839961257348144,1,8
all,F/U,session_inclusive_s,12,6,1.040424568249768,1.031874873825232,1.0533620028755541,0.9925680079704519,4,2
all,G/U,session_inclusive_s,12,6,1.2665079983332086,1.2584721935146794,1.278314378335377,0.6876131334103418,4,4
all,F/R,session_inclusive_s,12,6,1.0390296080428785,1.0326716055504965,1.0508421689605403,0.9925680079704519,4,3
all,G/R,session_inclusive_s,12,6,1.2648099143843128,1.2588489364114446,1.2752564173345187,0.6876131334103418,4,4
all,G/F,session_inclusive_s,12,6,1.2172992035970132,1.213556569200075,1.2264560698547178,0.6830299113715981,5,0
all,R/U,total_wall_s,12,6,1.0039409639216774,0.9963096086651022,1.0130171420775358,0.9984458992464371,1,8
all,F/U,total_wall_s,12,6,1.0564170820377123,1.0441105068618104,1.0631829558603128,0.9889917668146345,3,2
all,G/U,total_wall_s,12,6,1.3841317939093463,1.3714383691961904,1.3950138636011222,0.9718305696759211,4,4
all,F/R,total_wall_s,12,6,1.052270123445355,1.0351499383364795,1.063643365268432,0.9905311520244231,3,3
all,G/R,total_wall_s,12,6,1.3786983932825452,1.3667842311658491,1.3901777664120316,0.9718305696759211,4,4
all,G/F,total_wall_s,12,6,1.3102133782610825,1.2959759401520516,1.3299974438373459,0.9385764997522262,6,0
1dpu_t8,R/U,session_inclusive_s,6,6,0.9981936082592199,0.9951571123313727,1.0021331283611967,0.9839961257348144,1,4
1dpu_t8,F/U,session_inclusive_s,6,6,1.0005934186491723,0.9966505049343372,1.0081333991948644,0.9927087888848295,2,1
1dpu_t8,G/U,session_inclusive_s,6,6,1.2492235329642174,1.2424052903163925,1.2668267034724814,0.7489087920971647,2,2
1dpu_t8,F/R,session_inclusive_s,6,6,1.0024041532324952,0.9971696136930664,1.0130394353843204,0.9927087888848295,2,2
1dpu_t8,G/R,session_inclusive_s,6,6,1.251484203693486,1.2451663890111826,1.272991659080508,0.7610891674374279,2,2
1dpu_t8,G/F,session_inclusive_s,6,6,1.2484826600705632,1.2427450976187722,1.258706194377335,0.7470772642101556,3,0
1dpu_t8,R/U,total_wall_s,6,6,1.000534126668431,0.9878168339688352,1.0020935507617095,0.9984458992464371,1,4
1dpu_t8,F/U,total_wall_s,6,6,1.0005751312625604,0.9966536660153688,1.009422656977755,0.9889917668146345,2,1
1dpu_t8,G/U,total_wall_s,6,6,1.338358673366018,1.3252048588459893,1.3419754225410143,0.9946813107052748,2,2
1dpu_t8,F/R,total_wall_s,6,6,1.0000409827041743,0.9945940096151525,1.0218722968327154,0.9905311520244231,2,2
1dpu_t8,G/R,total_wall_s,6,6,1.337644201924898,1.3224362713827238,1.358162480441939,0.9962295518024525,2,2
1dpu_t8,G/F,total_wall_s,6,6,1.3375893838948714,1.329092181725204,1.3441567823322595,0.9945245050608732,3,0
4dpu_t8,R/U,session_inclusive_s,6,6,1.0045014467723261,0.9918972474667637,1.0149249331225587,1.0,0,4
4dpu_t8,F/U,session_inclusive_s,6,6,1.0818412974163845,1.0650569767694247,1.1006197294803912,0.9925680079704519,2,1
4dpu_t8,G/U,session_inclusive_s,6,6,1.284031614450812,1.2747468754309057,1.289999538924502,0.6876131334103418,2,2
4dpu_t8,F/R,session_inclusive_s,6,6,1.0769932695393993,1.0673347826233024,1.0900555550897801,0.9925680079704519,2,1
4dpu_t8,G/R,session_inclusive_s,6,6,1.278277516251146,1.2692655224665723,1.2891509836518338,0.6876131334103418,2,2
4dpu_t8,G/F,session_inclusive_s,6,6,1.1868946189402192,1.1719817387444902,1.1995222402631698,0.6830299113715981,2,0
4dpu_t8,R/U,total_wall_s,6,6,1.0073594015189413,0.9917293258775769,1.0240598089498754,1.0,0,4
4dpu_t8,F/U,total_wall_s,6,6,1.1153755638648002,1.0938270612074543,1.120018519023871,0.996308818616828,1,1
4dpu_t8,G/U,total_wall_s,6,6,1.4314703980602972,1.4150824260601342,1.4516600114035823,0.9718305696759211,2,2
4dpu_t8,F/R,total_wall_s,6,6,1.1072270355376517,1.0773595904248776,1.1111606332120596,0.996308818616828,1,1
4dpu_t8,G/R,total_wall_s,6,6,1.4210125958043005,1.399053170037106,1.439363502680221,0.9718305696759211,2,2
4dpu_t8,G/F,total_wall_s,6,6,1.2833976684052695,1.2636848373247374,1.317882857302552,0.9385764997522262,3,0
