cell_id,family,topology_id,contrast,metric,ratio_of_medians,denominator_time_reduction_pct,paired_bootstrap_low,paired_bootstrap_high,same_selected_path
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,F/U,total_wall_s,1.0055056410488263,0.5475494939126802,0.9975893748695868,1.0260945736738005,False
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,G/U,total_wall_s,1.0,0.0,1.0,1.0,True
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,F/R,total_wall_s,1.0055056410488263,0.5475494939126802,0.9975893748695868,1.0260945736738005,False
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,G/R,total_wall_s,1.0,0.0,1.0,1.0,True
qrng_test_total17_r1/1dpu_t8,QRNG,1dpu_t8,G/F,total_wall_s,0.9945245050608732,-0.5505641048826337,0.9745690364774348,1.0024164502861996,False
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,R/U,session_inclusive_s,1.0,0.0,1.0,1.0,True
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,F/U,session_inclusive_s,0.9925680079704519,-0.7487640111174532,0.9842827390695876,1.0039729555912247,False
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,G/U,session_inclusive_s,1.0,0.0,1.0,1.0,True
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,F/R,session_inclusive_s,0.9925680079704519,-0.7487640111174532,0.9842827390695876,1.0039729555912247,False
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,G/R,session_inclusive_s,1.0,0.0,1.0,1.0,True
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,G/F,session_inclusive_s,1.0074876401111745,0.743199202954814,0.9960427663224404,1.0159682378919592,False
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,R/U,total_wall_s,1.0,0.0,1.0,1.0,True
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,F/U,total_wall_s,0.996308818616828,-0.37048566811810346,0.9821432338694165,1.0124037762806428,False
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,G/U,total_wall_s,1.0,0.0,1.0,1.0,True
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,F/R,total_wall_s,0.996308818616828,-0.37048566811810346,0.9821432338694165,1.0124037762806428,False
qrng_test_total17_r1/4dpu_t8,QRNG,4dpu_t8,G/R,total_wall_s,1.0,0.0,1.0,1.0,True
