cell_id,family,topology_id,method,path_id,n,session_inclusive_s_median,session_inclusive_s_mad,total_wall_s_median,total_wall_s_mad,session_open_s_median,session_open_s_mad,session_close_s_median,session_close_s_mad,kernel_s_median,kernel_s_mad,h2d_s_median,h2d_s_mad,d2h_s_median,d2h_s_mad,request_build_sum_s_median,request_build_sum_s_mad,request_wave_wall_sum_s_median,request_wave_wall_sum_s_mad
bb84_test_total17_r1/1dpu_t8,BB84,1dpu_t8,G,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,0.44752983696525916,0.0009247109992429614,0.3336885279859416,0.0009346019942313433,0.10808382404502481,0.00021973397815600038,0.004917096986901015,0.00053298199782148,0.158053532,0.0001674999999999871,0.015725992,4.469099999999601e-05,0.04873066,0.0002891149999999995,0.016817360010463744,6.360234692692757e-06,0.28983478498412296,0.0002468078164383769
bb84_test_total17_r1/1dpu_t8,BB84,1dpu_t8,F,02e4eaf87037f1b856112ad1bba7c3c895f614ce9e5f823bdd6cd3c9d267ba19,5,0.4510608130367473,0.0037001249729655683,0.3353258040151559,0.0012845710152760148,0.10968115704599768,0.0014368249685503542,0.005056392983533442,0.00048134400276467204,0.15872714000000002,0.00010054499999997968,0.015604153999999999,4.210699999999956e-05,0.048721649,0.0006953359999999978,0.01686422317288816,7.654086221009493e-05,0.2917973562143743,0.0012844039010815322
bb84_test_total17_r1/1dpu_t8,BB84,1dpu_t8,R,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,0.44752983696525916,0.0009247109992429614,0.3336885279859416,0.0009346019942313433,0.10808382404502481,0.00021973397815600038,0.004917096986901015,0.00053298199782148,0.158053532,0.0001674999999999871,0.015725992,4.469099999999601e-05,0.04873066,0.0002891149999999995,0.016817360010463744,6.360234692692757e-06,0.28983478498412296,0.0002468078164383769
bb84_test_total17_r1/1dpu_t8,BB84,1dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,0.44752983696525916,0.0009247109992429614,0.3336885279859416,0.0009346019942313433,0.10808382404502481,0.00021973397815600038,0.004917096986901015,0.00053298199782148,0.158053532,0.0001674999999999871,0.015725992,4.469099999999601e-05,0.04873066,0.0002891149999999995,0.016817360010463744,6.360234692692757e-06,0.28983478498412296,0.0002468078164383769
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,G,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,0.35268819599878043,0.003642147989012301,0.23342618899187073,0.003892902983352542,0.10715645697200671,0.001995609956793487,0.005217675992753357,0.0008776860195212066,0.074443556,2.343400000000273e-05,0.018130128,7.755900000000482e-05,0.047321917,0.0006439970000000003,0.01273996604140848,7.439212640747428e-05,0.19610750902211294,0.0023663759347982705
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,F,00f4b33065a6e9ba2d1f748a7acdbb43d64f1d6769b61127c1d3d13235633016,5,0.35013242793502286,0.004829899989999831,0.2337737279594876,0.0008690010290592909,0.11063245899276808,0.00253941398113966,0.0046812440268695354,0.00018200703198090196,0.07445047299999999,1.6524999999989465e-05,0.018128925000000004,4.386000000000667e-05,0.04730461700000001,0.00032289399999999024,0.01312380185117945,0.00033927004551514983,0.19636839593295008,0.0003309199819341302
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,R,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,0.35268819599878043,0.003642147989012301,0.23342618899187073,0.003892902983352542,0.10715645697200671,0.001995609956793487,0.005217675992753357,0.0008776860195212066,0.074443556,2.343400000000273e-05,0.018130128,7.755900000000482e-05,0.047321917,0.0006439970000000003,0.01273996604140848,7.439212640747428e-05,0.19610750902211294,0.0023663759347982705
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,0.35268819599878043,0.003642147989012301,0.23342618899187073,0.003892902983352542,0.10715645697200671,0.001995609956793487,0.005217675992753357,0.0008776860195212066,0.074443556,2.343400000000273e-05,0.018130128,7.755900000000482e-05,0.047321917,0.0006439970000000003,0.01273996604140848,7.439212640747428e-05,0.19610750902211294,0.0023663759347982705
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,G,740cebb98d01b20e761292de5e1d8ac73815c42d4841b7cc7d9ada0704821112,5,0.5824535539723001,0.003865844977553934,0.4163509240024723,0.004152058041654527,0.16548903397051618,0.0023578230175189674,0.0044078800128772855,0.0009095510467886925,0.169704065,0.0005066190000000137,0.02541706,0.00016071900000000014,0.058407187000000006,0.00035739199999999804,0.028656566108111292,0.000394283386413008,0.34267413686029613,0.003282484714873135
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,F,00d8fc35f75c73304ad25cea6b15ab88eb498146134c350120e5ad6da7360179,5,0.5877130719600245,0.003948776051402092,0.4177020660135895,0.003216606972273439,0.1598069669562392,0.0017695919959805906,0.004898187005892396,0.001259544980712235,0.169499569,0.00042808699999999367,0.02529825099999999,0.00016248000000000998,0.060630964,0.00035150299999999607,0.028755595674738288,0.00019374798284843564,0.34485498891444877,0.0018624947406351566
