view,case_id,point,cell_id,median_prepared_call_s,raw_mad,count
T,bv_n18,T13,cell-8d7aa71e4fed7fd459ca37eb1203a433d71adf3a773a97bc18f20ecd60a0acc4,1.0960766759817488,0.0023362429928965867,5
T,bv_n18,T14,cell-a7a09be8af69d4e20f52139fa5f496eae05492e1fef13030e2b052b376c6cc86,1.117749669996556,0.014184981002472341,5
T,bv_n18,T15,cell-390fa7d6b9be20a490ed091d8e1ab35913b9aea0388eca2415116f6b348bc6d9,1.109888156002853,0.010659958992619067,5
T,bv_n18,T16,cell-ed3cc79ef9e813684d9bf7f0749a9d59f3044b78e6a33be6a9428d7e04291e06,1.1026560940081254,0.0035450090072117746,5
T,bv_n18,T17,cell-37afb89a81a4a33c7dfb15a56cd7251527eed1cf68194c2af96b958eb8f69310,1.1063882439630106,0.006099443940911442,5
T,bv_n18,T18,cell-128a03d27a53e2ef477447e22d2b9c56f6d950db52099597f69373743fc9f90a,1.1143946470110677,0.008392039977479726,5
T,bv_n18,T19,cell-8f125914e5e90bda2ddcbc79e9d7ebd200c5226e5b19694368c08208b9c2c058,1.1098428769619204,0.030869495996739715,5
T,bv_n18,T20,cell-9d5681dfa3a394178d79792df4f946d54e52f60ba1ef3834f35941b0047fe06a,1.1087210240075365,0.023294248967431486,5
T,bv_n18,T21,cell-67bc542f4af1bf62bbb366a159bc7adea10f351cb3daa85ed326e560d9d6cd6a,1.1213697689818218,0.00678591598989442,5
T,bv_n18,T22,cell-f0592b63359092a4dd7f1fabbb4751557a7134794b5ac6d6210c354b46f52546,1.0971138129825704,0.005398482026066631,5
T,bv_n18,T23,cell-883a761865c6b564adb419ac2692bdcc773aa306f2390852b8b8a6a881a11d46,1.1222217630129308,0.004550223995465785,5
T,bv_n18,T24,cell-c18ef2d61753bcc8eb94479539b24357057e44a9f2276fa5122655b55dfa310f,1.1156387620139867,0.0015205390518531203,5
T,edc_n17,T1,cell-904ebdc712d340bcb710b7bfe9226aa0eca39ea6396e1120cafcc7ae7ef26e94,17.039003785001114,0.015182222006842494,5
T,edc_n17,T2,cell-952ef1d31d16e88be7ac3b01d0dc6d8e1279e6803b4ebf96be064a193b3fcb0a,9.540238839981612,0.04925388202536851,5
