phase,case_id,cell_id,metric,median,raw_mad,count,role
calibration,qrng_n18,cell-be9c87c442e8e8ea3df205d48c2b4f105a26d951b4760e02d028d36df498c86b,prepared_call_s,0.4673383650369942,0.004139370983466506,5,
calibration,qrng_n18,cell-be9c87c442e8e8ea3df205d48c2b4f105a26d951b4760e02d028d36df498c86b,job_to_state_s,0.5037063480122015,0.004423629958182573,5,
calibration,qrng_n18,cell-be9c87c442e8e8ea3df205d48c2b4f105a26d951b4760e02d028d36df498c86b,job_to_state_cached_path_s,0.5037067119847052,0.0044236520188860595,5,
calibration,qrng_n18,cell-be9c87c442e8e8ea3df205d48c2b4f105a26d951b4760e02d028d36df498c86b,kernel_s,0.08396065999999999,4.7494999999994625e-05,5,
calibration,edc_n17,cell-33f4ec0abfd2939887b1846127655b1b8a991b317592fe3e95de4f4469e09bc6,prepared_call_s,0.8815832550171763,0.004115518007893115,5,
calibration,edc_n17,cell-33f4ec0abfd2939887b1846127655b1b8a991b317592fe3e95de4f4469e09bc6,job_to_state_s,1.0660897019552067,0.008106942987069488,5,
calibration,edc_n17,cell-33f4ec0abfd2939887b1846127655b1b8a991b317592fe3e95de4f4469e09bc6,job_to_state_cached_path_s,1.0660901389783248,0.00810665701283142,5,
calibration,edc_n17,cell-33f4ec0abfd2939887b1846127655b1b8a991b317592fe3e95de4f4469e09bc6,kernel_s,0.037891462,0.00016782899999999434,5,
calibration,bb84_n18,cell-5303f9083c28ef3b7b905b0d7d2013e853180c3c7fd1bb87a198c65ae388217a,prepared_call_s,0.5277316150022671,0.005593308946117759,5,
calibration,bb84_n18,cell-5303f9083c28ef3b7b905b0d7d2013e853180c3c7fd1bb87a198c65ae388217a,job_to_state_s,0.5639608599594794,0.006682198960334063,5,
calibration,bb84_n18,cell-5303f9083c28ef3b7b905b0d7d2013e853180c3c7fd1bb87a198c65ae388217a,job_to_state_cached_path_s,0.563961184991058,0.006682113977149129,5,
calibration,bb84_n18,cell-5303f9083c28ef3b7b905b0d7d2013e853180c3c7fd1bb87a198c65ae388217a,kernel_s,0.02203091,8.033899999999872e-05,5,
calibration,stress_n16_l2,cell-8dfc80e61cd486b0d6790c731b1c2b18c509ffc8cbccecd35635657428fbd7ba,prepared_call_s,1.2193263529916294,0.00962331797927618,7,
calibration,stress_n16_l2,cell-8dfc80e61cd486b0d6790c731b1c2b18c509ffc8cbccecd35635657428fbd7ba,job_to_state_s,1.4636641520191915,0.014462171064224094,7,
calibration,stress_n16_l2,cell-8dfc80e61cd486b0d6790c731b1c2b18c509ffc8cbccecd35635657428fbd7ba,job_to_state_cached_path_s,1.4636644719867036,0.014462241029832512,7,
calibration,stress_n16_l2,cell-8dfc80e61cd486b0d6790c731b1c2b18c509ffc8cbccecd35635657428fbd7ba,kernel_s,0.29231541000000005,0.00015015400000006895,7,
calibration,xor_n18,cell-0ae24cb9e66533bae6a08c5ae50ea3cf02753a53c9ecd7f0681a14b53b4829c6,prepared_call_s,4.730827154999133,0.06925853103166446,5,
calibration,xor_n18,cell-0ae24cb9e66533bae6a08c5ae50ea3cf02753a53c9ecd7f0681a14b53b4829c6,job_to_state_s,4.8301479810033925,0.06909899099264294,5,
calibration,xor_n18,cell-0ae24cb9e66533bae6a08c5ae50ea3cf02753a53c9ecd7f0681a14b53b4829c6,job_to_state_cached_path_s,4.830148331006058,0.0690988390124403,5,
calibration,xor_n18,cell-0ae24cb9e66533bae6a08c5ae50ea3cf02753a53c9ecd7f0681a14b53b4829c6,kernel_s,2.466212642,0.016501539000000065,5,
calibration,bv_n18,cell-31a74faad05704fadbdadaed9ca7bfdd6dccfad4d551af1ffc09892eba0f638e,prepared_call_s,1.2050066430238076,0.009086283040232956,5,
calibration,bv_n18,cell-31a74faad05704fadbdadaed9ca7bfdd6dccfad4d551af1ffc09892eba0f638e,job_to_state_s,1.2832028460106812,0.009421625989489257,5,
calibration,bv_n18,cell-31a74faad05704fadbdadaed9ca7bfdd6dccfad4d551af1ffc09892eba0f638e,job_to_state_cached_path_s,1.2832032840233296,0.009421474998816848,5,
calibration,bv_n18,cell-31a74faad05704fadbdadaed9ca7bfdd6dccfad4d551af1ffc09892eba0f638e,kernel_s,0.421058916,0.00014690500000003048,5,
calibration,stress_n16_l2,cell-18c0e479a5b8de80fc5fd98d6646f29e7b160606606ff865fb605d735ab689f2,prepared_call_s,2.3226521110045724,0.015951011038850993,7,
calibration,stress_n16_l2,cell-18c0e479a5b8de80fc5fd98d6646f29e7b160606606ff865fb605d735ab689f2,job_to_state_s,2.563006860029418,0.016523169993888587,7,
