view,case_id,role,cell_id,median_job_to_state_cached_path_s,raw_mad_cached_s,median_prepared_call_s,count,accuracy_qualified
W,edc_n21,quest32_p8,cell-7f503ea477f48bb24d9129a50a765db499ad6768cd88da27c9ce5eba98d8b777,0.18198445695452392,0.0004181030089966953,0.18194466194836423,5,True
W,edc_n21,quest32_p1,cell-67ade521c309f20478e9f094c30f41f6b8ee733eae3bf70d832a2cc6efb791e8,0.17671927600167692,0.0003073540283367038,0.17668085097102448,5,True
W,edc_n21,numpy_f32_p1,cell-8f6594d04e755e21f39a46d16f4385338540b37b173bee444ed5541cdf7992dc,0.7241596599924378,0.002208741963841021,0.6256132239941508,5,True
W,edc_n23,upmem_f32,cell-4788698964fc03e2269e167ebf2f230a2a447a9fd6618fb37333a105017fd89f,10.431940281996503,0.016600407019723207,10.335837366990745,5,True
W,edc_n23,upmem_int8,cell-8210644508f3ea72bef5dfad65a5f6ac019fca3eaf498ac4962fc3e993f1dd62,7.934981853002682,0.0238023090059869,7.837614152987953,5,True
W,edc_n23,quest32_p8,cell-c8bf555de0dff3b4653a940d8b5098c045f677a60123ce9d9400675542648482,0.7810350820072927,0.0018488370114937425,0.7809947960195132,5,True
W,edc_n23,quest32_p1,cell-0d9800f3ffee1ddd2aaa0034954f6ac4c0b6986726965bf2a61c291edf3a8d22,0.7793954369844869,0.0014264819910749793,0.7793552789953537,5,True
W,edc_n23,numpy_f32_p1,cell-a883e82d8aebb104e670c024d27f746c0ef3647b2fd1c2f6b3746f530f2b0feb,2.0674787830212153,0.004072318959515542,1.6787972199963406,5,True
W,edc_n25,quest32_p8,cell-4077ad1e65b0ed3b2f89f64d534f42a70ed0addc6c1da322f5aa981aa17d6e9c,3.3092418760061264,0.0018278020434081554,3.309200036979746,5,True
W,edc_n25,quest32_p1,cell-e97c321d3075c95455e75bd03626481c5276cdac45e770981e09b2b498204c03,3.3258767829975113,0.010330748977139592,3.3258355740108527,5,True
W,hs_n08,upmem_f32,cell-ffe9c5a01d37d446e464edec6c04b86b2873aa5a4b8a36af979bebb465b54dea,0.6264641539892182,0.005238858982920647,0.4327795460121706,5,True
W,hs_n08,upmem_int8,cell-ce9d7a6bc80b4001bb9044a2353141ef5c0f27f29510136d0c700b43c7479e8e,0.6375811719917692,0.005031776032410562,0.4443213399499655,5,True
W,hs_n08,quest32_p8,cell-5862241a977a0ec8734575c0b0109292037f0f92364efa0cbbf0d9f3fa062842,0.006952680007088929,4.717032425105572e-06,0.006901274959091097,5,True
W,hs_n08,quest32_p1,cell-d699ccf996c184cc4fdca4e5f2dadcfdb72a6a8b30716f958e3ef99c2099a6d6,0.0006894800462760031,3.8440339267253876e-06,0.0006396180251613259,5,True
W,hs_n08,numpy_f32_p1,cell-15760e8389a7865668a55da3411bc1434607fab0e9a4b68b61681938d88c7748,0.0807419249904342,0.0002651239628903568,0.016577489965129644,5,True
W,hs_n12,upmem_f32,cell-68003570191a334d21e30921ed5cb7df184361dde185e929653e5d8139482cb0,1.1786164649529383,0.009100859926547855,0.7578479719813913,5,True
W,hs_n12,upmem_int8,cell-1a2ef5142affa6cfabf138baf0e468649d9510e07ca59db7d7c45dc1fdf5d4fe,1.1840999760315754,0.0050884809461422265,0.7655797930201516,5,True
W,hs_n12,quest32_p8,cell-93cd44a4a13a53e3b593b685bb2dccaf756d46d72ba1e91652f960529418db14,0.011254414974246174,1.458008773624897e-05,0.011188094969838858,5,True
W,hs_n12,quest32_p1,cell-f2cb5699dc0b8585433cc55fb4dc3acdb8e8b2852fd0592bd4664eb3ca5bac70,0.0020194159587845206,5.252950359135866e-06,0.001955235959030688,5,True
W,hs_n12,numpy_f32_p1,cell-ee40da9dfe709151e824f1c6d2dd6218d4a25314e0c45aadffd2f5858f0a8b86,0.1636422220035456,0.0006463769823312759,0.024842493003234267,5,True
W,hs_n16,upmem_f32,cell-8ac12517fc39944e6e18b8b40e1af3fd77609b6b069b267fa4661fce41caf2e4,1.833587997010909,0.005033842986449599,1.1712464980082586,5,True
W,hs_n16,upmem_int8,cell-a2e9c94dd08009ab8ad067b8078f0c5e6a67db0bdb0091593c59973bc34b7a95,1.8062521860119887,0.003019672993104905,1.1496976590133272,5,True
W,hs_n16,quest32_p8,cell-732b07619be6fd35eec1ef4da9d2bec11e5b6c97049e0d465487ec166fc11229,0.03742017695913091,3.7279678508639336e-06,0.03733966697473079,5,True
W,hs_n16,quest32_p1,cell-92d7bb9716b20c30f25515fc0b3e7a615a12cf4e156bce75b3b63b33549da5d1,0.025177227042149752,3.400997957214713e-05,0.02509713702602312,5,True
W,hs_n16,numpy_f32_p1,cell-65c6e2adcd88a2c59c9e21e839cfaca3e48a7877f7ed197580824f92ad5a3bc6,0.25897196802543476,0.0037100850022397935,0.03545934899011627,5,True
W,hs_n18,upmem_f32,cell-3b80297f3ef956c08f21545da83d9287c29743230be42e7e762ea958c6b31040,2.3529616210144013,0.016383232024963945,1.4972782210097648,5,True
W,hs_n18,upmem_int8,cell-0c68806c35d75c8d8b2038be09751290cd3fa1ae9da48722c1ac5c55053b5db7,2.346203411987517,0.0006825410528108478,1.4976785479811952,5,True
W,hs_n18,quest32_p8,cell-55edcc10b73b7feaf27e3e156700b5210f5c7fff007ff679514c3e2bfdc0ea82,0.12434612400829792,6.154901348054409e-05,0.1242639750125818,5,True
